106	KD	1424	103	1424	105	1423	109	1402	1	0	2	0	0	0	-1	0	0	0	0	0	4	2	0	2	3	0	1	12	3	0	0
107	LB	1415	72	1426	111	1299	165	1166	-1	-11	-1	-11	6	30	25	101	44	190	14	71	282	113	87	82	74	133	75	344	474	6	30
108	MD	1414	66	1548	98	1434	129	1344	-7	-31	-12	-44	-7	-31	-1	3	-6	-29	-6	11	185	67	91	27	40	102	43	164	302	-7	-31
109	CY	1406	64	1575	97	1382	133	1254	0	-16	4	20	2	17	-5	-19	-38	-157	-13	-31	320	186	130	4	60	203	57	281	716	2	17
109	AZ	1406	64	1552	109	1391	143	1256	-4	-22	-6	-37	-6	-35	-1	-3	-1	-13	-4	16	216	70	108	38	42	119	55	165	369	-6	-35
111	CU	1397	21	1686	76	1453	141	1108	0	-15	-2	-25	-3	-20	-9	-36	-12	-53	-48	-194	394	87	157	150	155	142	97	570	515	-3	-20
112	RW	1393	96	1465	145	1186	175	1039	1	0	9	32	22	94	4	23	-2	-12	7	45	209	68	75	66	68	90	51	221	283	22	94
113	KO	1377	103	1390	111	1384	120	1363	3	0	6	14	5	-2	1	-2	1	-12	-5	-1	10	5	2	3	3	6	1	14	18	5	-2
113	MZ	1377	94	1452	119	1319	152	1212	4	5	12	29	6	10	14	42	-7	-50	23	98	287	119	125	43	87	129	71	289	373	6	10
115	KE	1374	53	1542	86	1373	140	1235	-1	-7	-9	-52	-13	-68	7	13	8	35	-18	-55	610	226	226	158	225	241	144	857	865	-13	-68
116	BJ	1373	54	1557	110	1347	167	1138	-4	-23	-5	-35	-4	-15	-7	-27	-20	-85	19	92	257	103	111	43	56	143	58	265	495	-4	-15
117	TH	1365	67	1546	111	1307	140	1131	14	67	15	67	9	27	-6	-22	-27	-111	11	47	790	321	156	313	297	312	181	1247	1228	9	27
118	RE	1362	86	1380	136	1164	160	1057	1	0	2	0	3	0	3	0	9	46	19	88	115	46	31	38	46	47	22	202	216	3	0
119	ZW	1360	47	1579	76	1473	127	1324	1	0	3	0	3	0	0	-6	2	19	-33	-138	416	164	176	76	170	138	108	570	491	3	0
120	NC	1358	54	1545	103	1368	175	1097	1	0	3	0	3	0	4	4	9	47	40	169	228	76	51	101	118	85	25	625	332	3	0
120	MW	1358	48	1585	112	1326	149	1114	7	32	13	61	7	22	-2	-10	-1	1	14	67	542	259	189	94	186	206	150	675	730	7	22
122	KZ	1354	48	1618	96	1435	130	1308	-4	-14	1	-4	1	-4	4	15	-1	13	-4	4	162	59	68	35	40	86	36	177	274	1	-4
123	ET	1347	40	1641	92	1412	142	1258	-1	-4	-9	-37	-7	-37	6	25	8	49	-3	2	368	167	129	72	137	156	75	532	544	-7	-37
123	TZ	1347	76	1473	115	1281	169	1123	2	13	-7	-35	-10	-38	-3	-17	-3	2	46	216	502	187	189	126	147	218	137	596	772	-10	-38
125	SL	1338	65	1556	101	1367	157	1190	-2	-11	-7	-26	-5	-27	-2	-22	16	91	2	19	258	99	111	48	76	118	64	244	363	-5	-27
126	SD	1335	23	1716	81	1476	132	1295	-2	-2	-12	-49	-10	-49	-12	-44	-2	1	-16	-35	431	134	160	137	155	174	102	524	578	-10	-49
127	GM	1334	86	1425	115	1311	151	1202	-2	0	-1	0	1	0	0	-1	-14	-60	-10	-18	204	83	74	47	52	94	58	210	309	1	0
128	GP	1327	45	1532	82	1430	137	1277	-13	-52	-11	-46	-15	-58	-15	-58	-35	-142	-12	-27	235	72	73	90	103	90	42	407	337	-15	-58
129	BI	1322	88	1458	121	1287	158	1190	0	0	1	18	2	17	2	6	28	132	1	11	152	35	57	60	47	71	34	157	211	2	17
